Group,Motif,Group_removed,Motif_removed
low_var,BATF,low_var,IRF2
low_var,BATF3,low_var,IRF4
low_var,FOS,low_var,IRF8
low_var,FOSB,high_var,EBF1
low_var,FOSL1,high_var,TFAP2B
low_var,FOSL2,high_var,TFAP2E
low_var,IRF1,NI,ELF5
low_var,IRF7,,
low_var,IRF9,,
low_var,JUN,,
low_var,JUNB,,
low_var,JUND,,
low_var,NFKB1,,
low_var,NFKB2,,
low_var,NFYA,,
low_var,NFYB,,
low_var,NFYC,,
low_var,REL,,
low_var,RELA,,
low_var,RELB,,
low_var,STAT1,,
low_var,STAT2,,
low_var,STAT3,,
low_var,STAT4,,
low_var,STAT5A,,
low_var,STAT5B,,
NI,EHF,,
NI,ELF1,,
NI,ELF3,,
NI,IRF1,,
NI,MEF2A,,
NI,MEF2B,,
NI,MEF2C,,
NI,MEF2D,,
NI,SPI1,,
NI,SPIB,,
NI,SPIC,,
high_var,ASCL1,,
high_var,ASCL2,,
high_var,CTCF,,
high_var,CTCFL,,
high_var,E2F6,,
high_var,EBF2,,
high_var,EBF3,,
high_var,ELF1,,
high_var,ELF3,,
high_var,MAZ,,
high_var,MYOG,,
high_var,PLAG1,,
high_var,PLAGL1,,
high_var,TFAP2A,,
high_var,TFAP2C,,
high_var,ZKSCAN5,,
high_var,ZNF460,,
